priority,page_group,page_or_project,route,source_file,copy_section,copy_type,current_draft,what_i_need_from_you,example_answer,your_answer,codex_rewrite_notes
P3,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 01 alt text,Accessibility copy,Natural retail goods and produce in a market setting.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 02 caption,Image caption,Packaging materials keep the system tactile and approachable.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 02 alt text,Accessibility copy,Paper textures and printed design materials.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 03 caption,Image caption,"Natural color cues are used as accents, not decoration.","What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 03 alt text,Accessibility copy,Fresh green produce arranged in a market.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 04 caption,Image caption,Product families use color groups for quick recognition.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 04 alt text,Accessibility copy,Produce arranged by color in crates.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 05 caption,Image caption,The system balances natural cues with clean brand structure.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 05 alt text,Accessibility copy,Food and ingredients arranged on a light surface.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Project title / naming,Visible headline,Hana Paw Pet Goods,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Hero dek,Visible body copy,"A friendly pet-products brand and packaging system with a warm voice, practical shelf hierarchy, and flexible product families.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Card summary,Visible card copy,"A pet-products identity and packaging system built around warmth, trust, and easy product navigation.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Role,Project fact,"Art direction, identity, and packaging",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Client / context,Project fact,Hana Paw,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Brief section,Case study body,"Build a pet-products brand that can work across packaging, retail displays, and customer-facing product information.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Concept section,Case study body,Hana Paw uses a warm visual voice with clear packaging hierarchy so the brand feels friendly without becoming childish.,What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,System section,Case study body,"The system can include product families, labels, icons, color coding, packaging fronts, and retail graphics.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Outcome section,Case study body,This case study should show how personality and utility can work together in consumer packaging.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Cover image alt text,Accessibility copy,Dog resting in soft natural light.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 01 caption,Image caption,Product photography gives the brand an approachable tone.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 01 alt text,Accessibility copy,Dog with pet accessories in a bright setting.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 02 caption,Image caption,A friendly image language supports trust and care.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 02 alt text,Accessibility copy,Dog looking upward in an outdoor setting.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 03 caption,Image caption,Packaging studies organize product benefits clearly.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 03 alt text,Accessibility copy,Printed paper textures and design materials.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 04 caption,Image caption,Labels and inserts use a consistent information system.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 04 alt text,Accessibility copy,Printed materials and paper samples on a desk.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 05 caption,Image caption,"The visual tone stays warm, active, and retail-ready.","What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hana Paw Pet Goods,/work/hana-paw-pet-goods/,src/content/projects/hana-paw-pet-goods.mdx,Gallery 05 alt text,Accessibility copy,Two dogs outdoors with warm natural light.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Project title / naming,Visible headline,Hoku Lei Jewelry,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Hero dek,Visible body copy,"A jewelry identity and packaging system built around small details, tactile presentation, and quiet luxury.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Card summary,Visible card copy,"A refined identity and packaging direction for a jewelry brand focused on detail, material, and presentation.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Role,Project fact,"Creative direction, identity, and packaging",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Client / context,Project fact,Hoku Lei,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Brief section,Case study body,"Create a jewelry brand and packaging system that feels refined, intimate, and practical for retail or direct-to-consumer sales.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Concept section,Case study body,"The direction uses quiet typography, tactile materials, and close product imagery to create a sense of care and detail.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,System section,Case study body,"Packaging, inserts, labels, photography, and digital product moments should all feel connected.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Outcome section,Case study body,This case study should show how small-format packaging can carry a large brand impression.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Cover image alt text,Accessibility copy,Jewelry displayed in soft light.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 01 caption,Image caption,Close detail guides the brand's quiet visual tone.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 01 alt text,Accessibility copy,Gold jewelry details in close-up.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 02 caption,Image caption,Packaging materials balance softness and precision.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 02 alt text,Accessibility copy,Jewelry and reflective materials on a dark surface.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 03 caption,Image caption,Stationery and packaging inserts carry the same restraint.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 03 alt text,Accessibility copy,Printed papers and design materials.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 04 caption,Image caption,Product imagery uses intimate scale and light.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 04 alt text,Accessibility copy,Jewelry earring detail in soft light.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 05 caption,Image caption,The system creates a complete purchase and gifting experience.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Hoku Lei Jewelry,/work/hoku-lei-jewelry/,src/content/projects/hoku-lei-jewelry.mdx,Gallery 05 alt text,Accessibility copy,Jewelry packaging and refined product presentation.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Project title / naming,Visible headline,Manoa Now Identity,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Hero dek,Visible body copy,"A publication identity and website system for student-led stories, campus culture, and editorial flexibility.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Card summary,Visible card copy,"A campus publication identity and website system designed for editorial range, clarity, and student-led publishing.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Role,Project fact,Creative direction and identity,Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Client / context,Project fact,Manoa Now,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Location,Project fact,Honolulu,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Brief section,Case study body,"Create a visual identity and website system for Manoa Now that can support campus stories, editorial categories, and changing content needs.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Concept section,Case study body,"The identity treats the publication as an active editorial platform: flexible, organized, and built for regular publishing.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,System section,Case study body,"The project can include a logo system, article templates, homepage modules, category treatments, and social graphics.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Outcome section,Case study body,This page should show how identity and website structure can make a publication feel more coherent and easier to maintain.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Cover image alt text,Accessibility copy,Students gathered on a campus lawn.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 01 caption,Image caption,Campus context gives the identity a strong editorial setting.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 01 alt text,Accessibility copy,Campus architecture and walking paths.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 02 caption,Image caption,"Website modules support stories, categories, and campus updates.","What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 02 alt text,Accessibility copy,Laptop workspace for digital publishing.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 03 caption,Image caption,Print and digital layouts share one editorial rhythm.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 03 alt text,Accessibility copy,Editorial materials on a tabletop.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 04 caption,Image caption,The system is built for a changing student team.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 04 alt text,Accessibility copy,People collaborating with laptops in a workspace.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 05 caption,Image caption,Flexible templates keep publishing fast and consistent.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Manoa Now Identity,/work/manoa-now-identity/,src/content/projects/manoa-now-identity.mdx,Gallery 05 alt text,Accessibility copy,Students working together in a casual setting.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Project title / naming,Visible headline,Vital View 3D Web Platform,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Hero dek,Visible body copy,"A website direction for a healthcare visualization product, focused on clarity, credibility, and complex information made approachable.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Card summary,Visible card copy,"A website system for Vital View 3D that turns healthcare technology into a clear, credible digital experience.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Role,Project fact,Creative direction and web design,Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Client / context,Project fact,Vital View 3D,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Location,Project fact,Remote,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Brief section,Case study body,Design a website direction for Vital View 3D that explains a technical product clearly and builds trust quickly.,"What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Concept section,Case study body,"The site uses structured content, precise visual hierarchy, and controlled imagery to make healthcare technology easier to understand.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,System section,Case study body,"The project can include homepage modules, product explanation sections, feature pages, user pathways, and conversion points.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
